seller_id,item_id,item_name,category,marketplace_price,expected_units_sold,expected_revenue,recommendation_source
S100,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S100,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S100,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S100,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S100,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S100,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S100,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S100,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S100,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S100,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S101,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S101,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S101,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S101,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S101,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S101,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S101,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S101,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S101,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S101,I837838,Boat Smartwatch,Electronics,132732.63,3961.0,5.2575394743E8,company
S102,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S102,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S102,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S102,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S102,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S102,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S102,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S102,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S102,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S102,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S103,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S103,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S103,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S103,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S103,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S103,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S103,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S103,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S103,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S103,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S104,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S104,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S104,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S104,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S104,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S104,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S104,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S104,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S104,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S104,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S105,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S105,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S105,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S105,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S105,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S105,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S105,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S105,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S105,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S105,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S106,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S106,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S106,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S106,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S106,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S106,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S106,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S106,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S106,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S106,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S107,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S107,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S107,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S107,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S107,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S107,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S107,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S107,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S107,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S107,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S108,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S108,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S108,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S108,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S108,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S108,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S108,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S108,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S108,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S108,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S109,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S109,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S109,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S109,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S109,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S109,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S109,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S109,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S109,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S109,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S110,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
S110,I535008,Dell XPS 13 Laptop,Electronics,147366.43,3968.0,5.8474999424E8,company
S110,I82474,LG 7kg Washing Machine,Home Appliances,147998.61,3940.0,5.831145234E8,company
S110,I51795,Skechers GoWalk,Footwear,144686.37,3960.0,5.729580251999999E8,company
S110,I350504,Levis Denim Jacket,Apparel,142220.12,3974.0,5.6518275688E8,company
S110,I318489,Dell XPS 13 Laptop,Electronics,138631.1,3942.0,5.464837962E8,company
S110,I248794,Dyson Vacuum Cleaner,Home Appliances,137914.86,3953.0,5.451774415799999E8,company
S110,I824500,Dell XPS 13 Laptop,Electronics,89802.625,5969.0,5.36031868625E8,competitor
S110,I639903,Allen Solly Formal Pants,Apparel,88559.64,5989.0,5.3038368396E8,competitor
S110,I128777,Sony WH-1000XM5 Headphones,Electronics,133718.55,3934.0,5.260487756999999E8,company
S111,I682869,H&M Cotton Shirt,Apparel,102045.07500000001,5991.0,6.11352044325E8,competitor
